fare_amount,passenger_count,isAirport,year,hour,distance
4.5,1,0,2009,17,0.640494155716726
16.9,1,0,2010,16,5.250728124168382
5.7,2,0,2011,0,0.8634205719317549
7.7,1,0,2012,4,1.7394052779856652
5.3,1,0,2010,7,1.242232285719331
12.1,1,0,2011,9,2.3533075009950277
7.5,1,0,2012,20,0.9667442164554428
16.5,1,0,2012,17,2.582102160188228
9.0,1,0,2012,13,0.778730640806104
8.9,2,0,2009,1,1.7706957401401044
5.3,1,0,2012,7,0.8541320712591585
4.1,2,0,2009,1,0.44600501166683393
7.0,1,0,2013,19,1.2548009253038928
7.7,2,0,2011,17,1.0385991013749467
12.5,1,0,2014,7,1.6216567675151687
5.3,1,0,2009,16,0.9394642184700527
5.3,1,0,2010,14,0.5728806250551045
4.0,1,0,2014,20,0.2480408294608366
10.5,1,0,2010,13,1.048178721374122
11.5,1,0,2013,12,1.424490573522865
4.5,1,0,2009,18,0.5743371443056098
4.9,1,0,2010,12,0.8723888930229023
6.1,1,0,2009,15,0.6324219277479594
7.3,3,0,2011,16,1.5732962776402328
4.5,3,0,2011,19,0.20429101422215185
9.3,1,0,2012,6,2.531160835445284
4.5,2,0,2013,0,0.5021686914028287
5.5,1,0,2014,16,0.5417878275495411
22.54,1,0,2015,21,4.165440161220071
31.9,3,1,2009,16,5.843002174294301
5.7,2,0,2011,14,0.8584888682967048
18.1,1,0,2011,23,4.443165987918003
58.0,1,0,2015,3,7.942489728314533
4.5,1,0,2015,8,0.5012651577404456
5.3,1,0,2012,10,0.5914282161418858
9.0,6,0,2013,11,1.456387575607974
9.8,1,0,2009,20,2.228256167020118
8.1,1,0,2011,15,1.0212772301634188
10.9,2,0,2011,10,3.1155500162319907
17.5,1,0,2013,8,3.5718422693774325
12.1,1,0,2009,21,3.3907799136179295
5.3,1,0,2011,18,0.5884674906764428
6.9,1,0,2011,21,1.58365371206122
4.5,1,0,2011,20,0.6168655078437594
3.3,1,0,2011,7,0.2869856410452388
3.3,5,0,2012,0,0.341961305412134
9.0,1,0,2013,12,1.023958578562886
9.7,1,0,2011,9,1.5530200385325654
5.5,3,0,2012,20,0.629898461971965
8.0,1,0,2013,7,1.4199019311244832
7.5,1,0,2013,3,0.12866749536577668
25.5,4,0,2013,1,7.210331246424929
15.3,1,0,2012,18,3.134245317502513
34.67,1,0,2010,18,5.986577035053636
9.7,4,0,2011,21,1.050665648692636
13.7,2,0,2012,23,3.9450679088878986
6.5,1,0,2009,12,0.7895134419241998
5.0,6,0,2014,10,0.26773366893418965
4.5,3,0,2011,23,0.7654846534107261
4.9,1,0,2012,14,0.6058824720889279
7.0,6,0,2014,9,0.899729400320313
7.3,1,0,2011,10,1.3616211173619397
7.5,1,0,2012,17,1.0066894472070493
8.5,4,0,2014,9,0.691854312497668
16.5,6,0,2014,18,2.319734038448997
11.5,6,0,2015,10,2.0969727813285415
5.0,1,0,2015,23,0.5187307257665891
6.9,2,0,2009,2,0.5729450822384293
3.7,1,0,2010,10,0.5239276715157732
6.9,2,0,2010,8,0.6555846884665929
